,raster_val,geometry,areas,points,rws,blocks,vols,heit,lite,undersmpl,mean_diff,mean_diff_positive
0,9424.0,"POLYGON ((106.68558067011892 -6.094427011866569, 106.68657565064605 -6.102532292164769, 106.69658846863295 -6.102532292164769, 106.69559339472427 -6.094427011866569, 106.68558067011892 -6.094427011866569))",1000000.0,0.0,1,13,1798726.0,1.9,59.0,0.0,0.037211717501491284,0.05870145145021381
1,17420.0,"POLYGON ((106.69559339472427 -6.094427011866569, 106.69658846863295 -6.102532292164769, 106.70660128661989 -6.102532292164769, 106.70560611932963 -6.094427011866569, 106.69559339472427 -6.094427011866569))",1000000.0,2.0,1,36,2576351.0,2.7,64.0,0.0,-0.020476441042663555,0.07977003621965925
2,13385.0,"POLYGON ((106.70560611932963 -6.094427011866569, 106.70660128661989 -6.102532292164769, 106.7166141046068 -6.102532292164769, 106.715618843935 -6.094427011866569, 106.70560611932963 -6.094427011866569))",1000000.0,0.0,2,33,2900302.0,3.163265306122449,64.0,0.0,-0.3774699917918759,0.08021090400935227
3,2245.0,"POLYGON ((106.715618843935 -6.094427011866569, 106.7166141046068 -6.102532292164769, 106.72662692259374 -6.102532292164769, 106.72563156854036 -6.094427011866569, 106.715618843935 -6.094427011866569))",1000000.0,0.0,1,18,489157.0,2.1481481481481484,67.0,0.0,-0.1948206051515261,0.020808735016825057
4,16.0,"POLYGON ((106.72563156854036 -6.094427011866569, 106.72662692259374 -6.102532292164769, 106.73663974058066 -6.102532292164769, 106.73564429314573 -6.094427011866569, 106.72563156854036 -6.094427011866569))",1000000.0,0.0,2,3,823.0,1.25,87.0,0.0,-0.10373243193366684,0.0002
5,7767.0,"POLYGON ((106.78570791617253 -6.094427011866569, 106.78670383051525 -6.102532292164769, 106.79671664850217 -6.102532292164769, 106.79572064077789 -6.094427011866569, 106.78570791617253 -6.094427011866569))",1000000.0,0.0,1,32,1163253.0,2.586206896551724,111.0,2.0,0.0575350501872339,0.09241806598112624
6,6460.0,"POLYGON ((106.87582243762077 -6.094427011866569, 106.87681919239753 -6.102532292164769, 106.88683201038445 -6.102532292164769, 106.88583516222614 -6.094427011866569, 106.87582243762077 -6.094427011866569))",1000000.0,0.0,1,31,2541937.0,4.673913043478261,0.0,12.0,0.0879933979505193,0.24670807264474912
7,8406.0,"POLYGON ((106.8958478868315 -6.094427011866569, 106.89684482837139 -6.102532292164769, 106.9068576463583 -6.102532292164769, 106.90586061143686 -6.094427011866569, 106.8958478868315 -6.094427011866569))",1000000.0,0.0,1,108,2810147.0,5.026315789473684,167.5,44.0,0.40494918169590943,0.40494918169590943
8,14896.0,"POLYGON ((106.92588606064758 -6.094427011866569, 106.92688328233216 -6.102532292164769, 106.93689610031906 -6.102532292164769, 106.93589878525293 -6.094427011866569, 106.92588606064758 -6.094427011866569))",1000000.0,4.0,5,101,2277528.0,3.2777777777777777,99.0,2.0,-0.11097075297208385,0.13008879859514438
9,6483.0,"POLYGON ((106.93589878525293 -6.094427011866569, 106.93689610031906 -6.102532292164769, 106.946908918306 -6.102532292164769, 106.9459115098583 -6.094427011866569, 106.93589878525293 -6.094427011866569))",1000000.0,1.0,2,35,2389042.0,3.7714285714285714,87.0,8.0,-0.006294611121800623,0.15931372755938525
10,4446.0,"POLYGON ((106.9459115098583 -6.094427011866569, 106.946908918306 -6.102532292164769, 106.95692173629291 -6.102532292164769, 106.95592423446367 -6.094427011866569, 106.9459115098583 -6.094427011866569))",1000000.0,0.0,1,40,2990083.0,4.590909090909091,83.0,6.0,-0.19003237479059804,0.14664494852083737
11,5874.0,"POLYGON ((106.95592423446367 -6.094427011866569, 106.95692173629291 -6.102532292164769, 106.96693455427983 -6.102532292164769, 106.96593695906903 -6.094427011866569, 106.95592423446367 -6.094427011866569))",1000000.0,0.0,3,52,691493.0,1.6,85.66666666666667,2.0,-0.0064698996485944285,0.07509614498843044
12,9047.0,"POLYGON ((106.68657565064605 -6.102532292164769, 106.68757197954602 -6.110637619408635, 106.69758489104103 -6.110637619408635, 106.69658846863295 -6.102532292164769, 106.68657565064605 -6.102532292164769))",1000000.0,0.0,1,21,1395265.0,1.7777777777777777,0.0,0.0,0.053222194402621215,0.07234088913261896
13,14938.0,"POLYGON ((106.69658846863295 -6.102532292164769, 106.69758489104103 -6.110637619408635, 106.70759780253607 -6.110637619408635, 106.70660128661989 -6.102532292164769, 106.69658846863295 -6.102532292164769))",1000000.0,0.0,2,46,1874071.0,2.2857142857142856,96.0,0.0,-0.08737329262459459,0.04495144668684883
14,16308.0,"POLYGON ((106.70660128661989 -6.102532292164769, 106.70759780253607 -6.110637619408635, 106.7176107140311 -6.110637619408635, 106.7166141046068 -6.102532292164769, 106.70660128661989 -6.102532292164769))",1000000.0,1.0,2,41,3031309.0,3.5121951219512195,109.5,0.0,-0.2816624905683005,0.03707239768805094
15,8226.0,"POLYGON ((106.7166141046068 -6.102532292164769, 106.7176107140311 -6.110637619408635, 106.72762362552614 -6.110637619408635, 106.72662692259374 -6.102532292164769, 106.7166141046068 -6.102532292164769))",1000000.0,0.0,1,11,1981635.0,3.1176470588235294,120.0,1.0,-0.4058525337282095,0.04061433860522819
16,1481.0,"POLYGON ((106.72662692259374 -6.102532292164769, 106.72762362552614 -6.110637619408635, 106.73763653702117 -6.110637619408635, 106.73663974058066 -6.102532292164769, 106.72662692259374 -6.102532292164769))",1000000.0,0.0,1,17,362049.0,3.1,133.0,0.0,0.014898822966252452,0.06560147072420909
