"Timestamp","Index","binary","design_type"
"2022/12/13 6:49:25 PM GMT+7","75","puldur;main_street","C10"
"2022/12/13 6:56:41 PM GMT+7","76","house_high_fence;house_CCTV;symbolic_medium;puldur","C10"
"2022/12/13 6:59:34 PM GMT+7","77","house_high_fence;house_CCTV;gapura;symbolic_medium","C10"
"2022/12/13 7:02:43 PM GMT+7","78","","B"
"2022/12/13 7:03:19 PM GMT+7","79","gardu;gapura;symbolic_medium","Geser A"
"2022/12/13 7:03:46 PM GMT+7","80","gapura;symbolic_medium","A10"
"2022/12/13 9:50:21 PM GMT+7","63","house_CCTV;puldur","A10"
"2022/12/13 9:51:34 PM GMT+7","67","main_street","C10"
"2022/12/13 9:52:33 PM GMT+7","68","main_street","C10"
"2022/12/13 9:53:47 PM GMT+7","69","gardu;gapura;main_street","C10"
"2022/12/13 9:54:38 PM GMT+7","70","gapura;symbolic_medium;puldur;main_street","A10"
"2022/12/14 3:24:02 PM GMT+7","81","house_high_fence;house_CCTV;gardu","C21"
"2022/12/14 3:27:33 PM GMT+7","82","house_high_fence;house_CCTV;symbolic_medium;puldur;non_residential_builds","A10"
"2022/12/14 3:29:30 PM GMT+7","83","house_high_fence;house_CCTV;non_house_CCTV;gardu;symbolic_medium;puldur;non_residential_builds;main_street","C21"
"2022/12/14 3:39:10 PM GMT+7","84","house_CCTV;gardu;puldur","C21"
"2022/12/14 3:39:28 PM GMT+7","85","house_high_fence;house_CCTV;non_house_CCTV;gardu;gapura;symbolic_medium;puldur;non_residential_builds;main_street","A10"
"2022/12/14 4:33:09 PM GMT+7","86","tumpang_tindih;house_CCTV;gardu;gapura;symbolic_medium;puldur;non_residential_builds;main_street","A10;C21"
"2022/12/14 4:34:22 PM GMT+7","87","tumpang_tindih;house_CCTV;gardu;gapura;symbolic_medium;puldur;non_residential_builds;main_street","A10;A11;C21"
"2022/12/14 4:35:06 PM GMT+7","88","house_CCTV;non_house_CCTV;gardu;gapura;symbolic_medium;main_street","A11"
"2022/12/14 4:36:14 PM GMT+7","89","house_CCTV;non_house_CCTV;gardu;gapura;symbolic_medium;main_street","A11"
"2022/12/14 4:42:12 PM GMT+7","90","gardu;gapura;symbolic_medium;puldur;non_residential_builds;main_street","C21"
"2022/12/14 4:45:43 PM GMT+7","91","non_house_CCTV;gapura;symbolic_medium;main_street","C10"
"2022/12/14 4:48:41 PM GMT+7","92","gapura;symbolic_medium;main_street","C21"
"2022/12/14 4:51:39 PM GMT+7","93","main_street","C10"
"2022/12/14 4:52:13 PM GMT+7","93","main_street","C10"
"2022/12/14 4:52:49 PM GMT+7","95","house_high_fence;gardu;gapura;symbolic_medium;puldur;non_residential_builds;main_street","C21"
"2022/12/14 4:53:55 PM GMT+7","95","main_street","C20"
"2022/12/14 4:57:45 PM GMT+7","97","house_high_fence;house_CCTV;non_house_CCTV;gardu;symbolic_medium;non_residential_builds;main_street","C21"
"2022/12/14 5:02:06 PM GMT+7","98","gapura;symbolic_medium;non_residential_builds;main_street","C20"
"2022/12/14 5:03:42 PM GMT+7","99","main_street","C20"
"2022/12/14 5:04:38 PM GMT+7","100","main_street","C20"
"2022/12/14 5:07:55 PM GMT+7","101","non_house_CCTV;gardu;symbolic_medium;non_residential_builds;main_street","C21"
"2022/12/14 5:08:24 PM GMT+7","102","main_street","C20"
"2022/12/14 5:36:14 PM GMT+7","104","gapura;symbolic_medium;non_residential_builds","C21"
